bisgHispanic,bisgBlack,bisgWhite,bisgAian,bisgApi,bisgMulti,race50,race60,race70,race75,race80,proxy_race,proxy_race_status,probThreshold,race_threshold
0.01,0.01,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.93,0.0,0.04,0.01,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.02,0.01,0.71,0.01,0.2,0.05,White,White,White,,,Unknown,Unknown,75,75
0.0,0.0,0.97,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.15,0.78,0.04,0.0,0.02,White,White,White,White,,White,Unprotected,75,75
0.96,0.0,0.03,0.01,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.98,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.99,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.02,0.94,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.02,0.12,0.77,0.02,0.02,0.07,White,White,White,White,,White,Unprotected,75,75
0.0,0.0,0.95,0.03,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.97,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.71,0.0,0.06,0.0,0.21,0.02,Hispanic,Hispanic,Hispanic,,,Unknown,Unknown,75,75
0.01,0.02,0.93,0.01,0.0,0.04,White,White,White,White,White,White,Unprotected,75,75
0.03,0.19,0.74,0.02,0.0,0.02,White,White,White,,,Unknown,Unknown,75,75
0.92,0.0,0.07,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.66,0.26,0.01,0.02,0.05,Black,Black,,,,Unknown,Unknown,75,75
0.01,0.04,0.9,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.03,0.06,0.79,0.08,0.01,0.02,White,White,White,White,,White,Unprotected,75,75
0.01,0.08,0.84,0.02,0.01,0.05,White,White,White,White,White,White,Unprotected,75,75
0.01,0.08,0.86,0.01,0.0,0.04,White,White,White,White,White,White,Unprotected,75,75
0.01,0.02,0.95,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.31,0.0,0.5,0.19,,,,,,Unknown,Unknown,75,75
0.85,0.01,0.04,0.0,0.08,0.02,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.3,0.61,0.01,0.01,0.07,White,White,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.27,0.0,0.67,0.01,0.02,0.03,White,White,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.06,0.89,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
