proxy_age,proxy_age_status,prob_female,prob_male,prob_female_age,prob_male_age,proxy_gender,proxy_gender_status,proxy_gender_method,gender_threshold,bisgAian,bisgApi,bisgBlack,bisgHispanic,bisgMulti,bisgWhite,prob_minority,proxy_minority,proxy_race,proxy_race_status,proxy_race_method,race_threshold,bifsgAian,bifsgApi,bifsgBlack,bifsgHispanic,bifsgMulti,bifsgWhite,age_actual
<62,Unprotected,0.003396496245977833,0.9966035037540222,,,male,Unprotected,firstname_age,0.8,0.0007881937080543983,0.0008773135161653747,0.0005439057172943622,0.0006604482657125814,0.004916696269532485,0.9922134425232408,0.007786557476759202,low,White,Unprotected,bisg,0.8,,,,,,,33.0
<62,Unprotected,0.00419090337515423,0.9958090966248456,,,male,Unprotected,firstname_age,0.8,0.00333543148856313,0.00045190330802016376,0.00803039158058193,0.003894847246796685,0.006145803497485471,0.9781416228785528,0.02185837712144737,low,White,Unprotected,bisg,0.8,,,,,,,24.0
<62,Unprotected,0.9978762135922328,0.002123786407766989,,,female,Protected,firstname_age,0.8,0.005877066041242402,0.0003877352198822848,0.016560767097938568,0.0030282308166834906,0.016519016129075432,0.9576271846951779,0.042372815304822176,low,White,Unprotected,bisg,0.8,,,,,,,38.0
<62,Unprotected,,,,,Unknown,Unknown,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,46.0
<62,Unprotected,0.0031024711324019643,0.9968975288675981,,,male,Unprotected,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,27.0
<62,Unprotected,0.0026180288635869174,0.9973819711364132,,,male,Unprotected,firstname_age,0.8,0.0007599403123234143,0.0011702934885678244,0.0008690787730786787,0.001579315193509704,0.0041358069498081285,0.9914855652827124,0.008514434717287751,low,White,Unprotected,bisg,0.8,,,,,,,24.0
<62,Unprotected,1.0,0.0,,,female,Protected,firstname_age,0.8,0.0016244043977519402,0.00015552573369274542,0.00013482973769222858,0.0018872423190039887,0.0033775127009792482,0.99282048511088,0.007179514889120151,low,White,Unprotected,bisg,0.8,,,,,,,38.0
62+,Protected,0.8372067940313066,0.16279320596869346,,,female,Protected,firstname_age,0.8,0.0,0.0001468577213220719,7.147519333536499e-05,0.002111885518999243,0.0,0.9976697815663432,0.0023302184336566802,low,White,Unprotected,bisg,0.8,,,,,,,68.0
<62,Unprotected,0.0039618461076270225,0.9960381538923728,,,male,Unprotected,firstname_age,0.8,0.0,0.0015384538192869642,0.0,0.0,0.003705942854091351,0.9947556033266216,0.005244396673378315,low,White,Unprotected,bisg,0.8,,,,,,,37.0
<62,Unprotected,0.9964887734472281,0.003511226552772162,,,female,Protected,firstname_age,0.8,0.0,0.004299186342797338,0.0,0.0007956009796740777,0.009015103858435273,0.9858901088190932,0.014109891180906688,low,White,Unprotected,bisg,0.8,,,,,,,43.0
<62,Unprotected,0.997594565303587,0.002405434696412995,,,female,Protected,firstname_age,0.8,0.0008382182090556112,0.0007725321727671872,2.3132135165803658e-05,0.0006933841314721244,0.0013004442716371151,0.9963722890799024,0.0036277109200978414,low,White,Unprotected,bisg,0.8,,,,,,,49.0
<62,Unprotected,0.0051796904295765,0.9948203095704236,,,male,Unprotected,firstname_age,0.8,0.009162475874871777,0.002294984330327009,0.3596552345524722,0.015664510420125215,0.03985004718049267,0.5733727476417111,0.4266272523582889,low,Unknown,Unknown,bisg,0.8,,,,,,,40.0
<62,Unprotected,0.016666666666666666,0.9833333333333332,,,male,Unprotected,firstname_age,0.8,0.0008588138265201593,0.9462648999359456,0.00030399941595574354,0.0010877794626777595,0.011661154840484095,0.03982335251841662,0.9601766474815836,high,Api,Protected,bisg,0.8,,,,,,,45.0
<62,Unprotected,0.0036532459016393438,0.9963467540983608,,,male,Unprotected,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,54.0
<62,Unprotected,0.003979579893217607,0.9960204201067824,,,male,Unprotected,firstname_age,0.8,0.003162914551117238,0.00047429892910487225,0.02585916782188305,0.004487050927508609,0.010743249499437809,0.9552733182709484,0.044726681729051566,low,White,Unprotected,bisg,0.8,,,,,,,32.0
<62,Unprotected,0.4292835064464927,0.5707164935535073,,,Unknown,Unknown,firstname_age,0.8,0.0,0.0019189819429240762,0.00039320795144950335,0.0015481598077201706,0.0019972607189191398,0.994142389578987,0.0058576104210128896,low,White,Unprotected,bisg,0.8,,,,,,,22.0
<62,Unprotected,0.9500010183091994,0.0499989816908006,,,female,Protected,firstname_age,0.8,0.0022345812751356003,0.002222907424613964,0.13891667909348704,0.007585250477848033,0.01338908303617303,0.8356514986927424,0.16434850130725767,low,White,Unprotected,bisg,0.8,,,,,,,24.0
<62,Unprotected,0.02492809885076517,0.9750719011492348,,,male,Unprotected,firstname_age,0.8,0.002588937633529265,0.0021634289435517712,0.0853105185036233,0.00454753108121909,0.01789297857482516,0.8874966052632515,0.1125033947367486,low,White,Unprotected,bisg,0.8,,,,,,,40.0
<62,Unprotected,0.02012158176140412,0.9798784182385959,,,male,Unprotected,firstname_age,0.8,0.0,0.0,0.0,0.00026924097307468053,0.0012861483261955892,0.9984446107007298,0.0015553892992702695,low,White,Unprotected,bisg,0.8,,,,,,,25.0
<62,Unprotected,,,,,Unknown,Unknown,firstname_age,0.8,0.0,0.0,0.2983160245812413,0.006797891158618873,0.036063533845265824,0.658822550414874,0.3411774495851261,low,Unknown,Unknown,bisg,0.8,,,,,,,58.0
<62,Unprotected,0.9976600367708508,0.002339963229149256,,,female,Protected,firstname_age,0.8,0.0009465900834065931,8.083100816513462e-05,0.0,0.001436209247788462,0.00304211730553658,0.9944942523551032,0.0055057476448967715,low,White,Unprotected,bisg,0.8,,,,,,,28.0
62+,Protected,0.9963523064481542,0.0036476935518458147,,,female,Protected,firstname_age,0.8,0.0033103978860206788,0.0025681237589303143,0.02182669052799134,0.0019150764638610953,0.011563120884120374,0.9588165904790762,0.04118340952092382,low,White,Unprotected,bisg,0.8,,,,,,,65.0
Unknown,Unknown,0.011779543448101904,0.988220456551898,,,male,Unprotected,firstname_age,0.8,0.002619786730505857,0.0006516379427251125,0.0017405005339328908,0.0006222274870188308,0.0018033027503979344,0.9925625445554194,0.007437455444580627,low,White,Unprotected,bisg,0.8,,,,,,,
<62,Unprotected,0.004320455611682686,0.9956795443883172,,,male,Unprotected,firstname_age,0.8,0.0,0.002536226247996653,0.0,0.0003799098137708125,0.0026396835457955146,0.994444180392437,0.005555819607562981,low,White,Unprotected,bisg,0.8,,,,,,,41.0
62+,Protected,0.9969528867866274,0.003047113213372589,,,female,Protected,firstname_age,0.8,0.004165768842362428,0.004664817238904282,0.00017014501016663649,0.0010224196704743675,0.007441724909923977,0.9825351243281684,0.017464875671831692,low,White,Unprotected,bisg,0.8,,,,,,,67.0
<62,Unprotected,0.004218807920068669,0.9957811920799312,,,male,Unprotected,firstname_age,0.8,0.0003188763566897294,0.0001833004747763264,5.0908888996199986e-05,0.0020414743126553354,0.0005471354666722398,0.9968583045002102,0.0031416954997898305,low,White,Unprotected,bisg,0.8,,,,,,,57.0
<62,Unprotected,0.8515443679134127,0.14845563208658724,,,female,Protected,firstname_age,0.8,0.0011386773059465466,0.002111406734430064,0.0002632256973603121,0.0013973699055429688,0.004222352430555202,0.9908669679261648,0.009133032073835094,low,White,Unprotected,bisg,0.8,,,,,,,49.0
<62,Unprotected,0.8219981846473029,0.1780018153526971,,,female,Protected,firstname_age,0.8,0.0,0.0008821196348086393,0.0006043504024386692,0.0008392372739118111,0.0006514905280461821,0.9970228021607948,0.0029771978392053016,low,White,Unprotected,bisg,0.8,,,,,,,19.0
<62,Unprotected,0.997028141790127,0.002971858209873031,,,female,Protected,firstname_age,0.8,0.007407505218720905,0.009696582984942836,0.00032124757012535717,0.0019944900765471564,0.00944169176118285,0.9711384823884808,0.028861517611519106,low,White,Unprotected,bisg,0.8,,,,,,,31.0
<62,Unprotected,0.998082037643208,0.001917962356792144,,,female,Protected,firstname_age,0.8,0.007262141271044494,0.03895490008640201,0.2727552829281103,0.06608109671747738,0.017726348719356116,0.5972202302776097,0.4027797697223903,low,Unknown,Unknown,bisg,0.8,,,,,,,26.0
<62,Unprotected,1.0,0.0,,,female,Protected,firstname_age,0.8,0.0016507560533943874,0.00034655775297075085,0.006474287983439952,0.0011721042327802488,0.008163879317571671,0.982192414659843,0.01780758534015701,low,White,Unprotected,bisg,0.8,,,,,,,18.0
<62,Unprotected,0.0,1.0,,,male,Unprotected,firstname_age,0.8,0.0009541102631589797,0.0028401734726480323,0.008322686099942042,0.046025740680758216,0.008884367889024506,0.9329729215944682,0.06702707840553179,low,White,Unprotected,bisg,0.8,,,,,,,43.0
