,feature,score perf,score class,score delta
0,RAD,0.6239583333333334,0.6851190476190474,-0.06116071428571401
1,CRIM,0.7111111111111107,0.7690476190476189,-0.057936507936508175
2,DIS,0.6923611111111108,0.7293650793650792,-0.037003968253968456
3,PTRATIO,0.5309027777777775,0.5557539682539681,-0.024851190476190554
4,INDUS,0.6628472222222221,0.6664682539682538,-0.0036210317460316777
5,ZN,0.5,0.5,0.0
6,CHAS,0.5,0.5,0.0
7,TAX,0.6690972222222221,0.6664682539682538,0.0026289682539683
8,AGE,0.7569444444444442,0.7257936507936508,0.03115079365079343
9,NOX,0.8263888888888886,0.7186507936507934,0.10773809523809519
10,LSTAT,0.8819444444444443,0.7688492063492063,0.11309523809523803
11,RM,0.663194444444444,0.4801587301587299,0.18303571428571408
