,feature,score perf,score class,score delta
0,ZN,0.5,0.5466340670843162,-0.046634067084316166
1,CHAS,0.5,0.5138339920948616,-0.01383399209486158
2,RAD,0.6239583333333334,0.6344732771953944,-0.010514943862060977
3,PTRATIO,0.5309027777777775,0.521543845396741,0.009358932381036467
4,TAX,0.6690972222222221,0.64282366542205,0.02627355680017207
5,INDUS,0.6628472222222221,0.623724788701589,0.03912243352063316
6,CRIM,0.7111111111111107,0.6692730709743943,0.04183804013671644
7,DIS,0.6923611111111108,0.5892530737864987,0.10310803732461205
8,RM,0.663194444444444,0.5135137246324735,0.1496807198119705
9,AGE,0.7569444444444442,0.5861910043900077,0.1707534400544365
10,NOX,0.8263888888888886,0.6229436485494227,0.20344524033946587
11,LSTAT,0.8819444444444443,0.5712556046805918,0.31068883976385253
